Рубрика;Вопрос;Ответ
предсказание;RNN;рекуррентная нейронная сеть (Recurrent Neural Network, RNN), популярный вид нейронных сетей, используемых в обработке естественного языка (NLP). Рекуррентная нейросеть оценивает произвольные предложения на основе того, насколько часто они встречались в текстах.
предсказание;LSTM;сеть с долговременной и кратковременной памятью (Long short term memory, LSTM), которая частично решает проблему исчезновения или зашкаливания градиентов в процессе обучения рекуррентных сетей методом обратного распространения ошибки. LSTM построена таким образом, чтобы учитывать долговременные зависимости.
предсказание;Предсказание команд;предсказание команд может помочь пользователю быстрее и легче найти нужную функцию, избежать ошибок и освоить возможности САПР.
проектирование;Проектирование;процесс создания проекта и его фиксация в какой-либо внешне выраженной форме. 
проектирование;AutoCAD;это пакет программ для точного проектирования и цифрового черчения планов, развёрток, схем и виртуальных трёхмерных моделей.
проектирование;nanoCAD;платформа для проектирования и моделирования объектов различной сложности, разработанная российской компанией ООО ""Нанософт разработка"". Обладает AutoCAD-подобным интерфейсом и напрямую поддерживает формат DWG (с помощью библиотек Teigha, разработчик Open Design Alliance).
проектирование;САПР;это автоматизированная система, которая выполняет функции проектирования с упрощёнными способами по внедрению ряда информационных данных и технологий. 
анализ;N-грамма;это фразы из двух или трех слов, которые операторы и клиенты часто произносят во время звонков. Фразы из двух слов на платформе называют биграммами, из трех — триграммами.
анализ;Кластеризация;это разделение большой группы объектов на несколько поменьше. Каждая малая группа называется кластером. Кластер формируется на основе какого-то конкретного критерия.
анализ;Анализ пользовательских логов;позволяет выявить закономерности в работе пользователя с САПР nanoCAD.
анализ;Сколько пользовательских логов было проанализировано;Всего было проанализировано 1816 документов, из которых для обучения модели для предсказания следующей команды было выбрано всего 170.
